UNITID,XGRCOHRT,GRCOHRT,XUGENTER,UGENTERN,XPGRCOHR,PGRCOHRT,XRRFTCT,RRFTCT,XRRFTEX,RRFTEX,XRRFTIN,RRFTIN,XRRFTCTA,RRFTCTA,XRET_NMF,RET_NMF,XRET_PCF,RET_PCF,XRRPTCT,RRPTCT,XRRPTEX,RRPTEX,XRRPTIN,RRPTIN,XRRPTCTA,RRPTCTA,XRET_NMP,RET_NMP,XRET_PCP,RET_PCP,STUFACR,XSTUFACR
172051,R,1571,R,2178,R,72,R,1218,R,0,R,0,R,1218,R,943,R,77,R,13,R,0,R,0,R,13,R,8,R,62,17,R
172200,R,700,R,4106,R,17,R,0,R,0,R,0,R,0,R,0,A,,R,0,R,0,R,0,R,0,R,0,A,,22,R
172264,R,290,R,673,R,43,R,277,R,0,R,0,R,277,R,193,R,70,R,1,R,0,R,0,R,1,R,1,R,100,12,R
172291,R,396,R,1254,R,32,R,393,R,0,R,0,R,393,R,234,R,60,R,226,R,0,R,0,R,226,R,98,R,43,18,R
172307,R,409,R,633,R,65,R,532,R,0,R,0,R,532,R,254,R,48,R,119,R,0,R,0,R,119,R,49,R,41,15,R
172325,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,132,R,0,R,0,R,132,R,82,R,62,11,R
172334,R,192,R,535,R,36,R,269,R,0,R,0,R,269,R,215,R,80,R,0,R,0,R,0,R,0,R,0,A,,11,R
172422,A,,A,,A,,R,85,R,0,R,0,R,85,R,68,R,80,A,,A,,A,,A,,A,,A,,10,R
172440,R,108,R,199,R,54,R,72,R,0,R,0,R,72,R,49,R,68,R,0,R,0,R,0,R,0,R,0,A,,9,R
172495,A,,A,,A,,R,44,R,0,R,0,R,44,R,32,R,73,R,0,R,0,R,0,R,0,R,0,A,,15,R
172608,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,12,R
172617,R,703,R,3148,R,22,R,678,R,0,R,0,R,678,R,473,R,70,R,873,R,0,R,0,R,873,R,433,R,50,18,R
172635,R,542,R,6564,R,8,R,556,R,0,R,0,R,556,R,285,R,51,R,1776,R,0,R,0,R,1776,R,587,R,33,25,R
172644,R,2957,R,5095,R,58,R,2567,R,0,R,0,R,2567,R,2017,R,79,R,86,R,0,R,0,R,86,R,37,R,43,14,R
172671,R,113,R,238,R,47,R,120,R,0,R,0,R,120,R,67,R,56,R,68,R,0,R,0,R,68,R,27,R,40,13,R
172680,A,,A,,A,,R,14,R,0,R,0,R,14,R,13,R,93,R,3,R,0,R,0,R,3,R,3,R,100,12,R
